id;item_group_id;title;description;link;image_link;price;availability;condition;google_product_category;product_type;additional_image_link;sale_price;brand;gender;age_group;size;size_type;shipping;custom_label_0;adwords_redirect
;;Nike Dunk Low SP Kentucky Alternate;"<p> Attention to all the fans of the <a href=""/collections/nike-dunk-low"" title=""Nike Dunk Low"">Nike Dunk Low</a>, the designers at the American brand have created a stunning Archeo Pink edition that you can find now at Costyled!</p>
<p>Undoubtedly one of the most popular colorways of the iconic Peter Moore silhouette, the Dunk Low Archeo Pink will add an irresistible touch of glamour to your every outfit.</p>
<p>Built around a traditional soft leather structure, the pair is stamped with Nike's legendary Swoosh and is displayed in an ultra-effective white and pink duo that offers endless matching possibilities, as long as you have a bit of imagination.</p>
<p>Released in France on November 29, 2021, this unique version of the Nike Dunk Low is aimed at a bold audience who will appreciate its charms while pairing them with a suitable outfit.</p>
<p>In the same vein, check out the <a href=""https://costyled.me/products/nike-dunk-low-pink-velvet""><strong>Nike Dunk Low Pink Velvet</strong></a>!</p>
<p><strong>Practical Advice</strong> : This model fits true to size, we recommend you take your usual size.</p>
<p><strong>Release Date : </strong>2021</p>
<p><strong>Colorway : </strong>White/Archeo Pink</p>";https://costyled.me/products/nike-dunk-low-sp-kentucky-alternate;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/Nike-Dunk-Low-SP-Kentucky-Alternate_1296x_5f4b38e7-f007-4cfe-8196-7ac304d3ddaf.jpg?v=1681660962;1620.00;in stock;new;Apparel & Accessories > Shoes;Women's > Tops > Denim;;;Finer Denim;female;adult;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Valentine Day 2023;"<meta charset=""utf-8""><span>This mid-top AJ1 comes in a smaller size and features a predominantly white colorway with pink accents. The shoe is crafted using smooth leather for its base and mesh for the tongues. The Desert Berry hue is applied to the signature profile Swoosh logos on both the medial and lateral mid-panels as well as the internal linings. Additionally, the Coral Chalk colorway is used on the toe cap, mudguard, eye stay panels, collar flaps, and heel counter. To finish off the design, a white midsole and Desert Berry rubber outsole are included.</span>";https://costyled.me/products/air-jordan-1-mid-valentine-day-2023;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/Air-Jordan-1-Mid-Valentines-Day-2023-GS_1296x_65e4aad5-fac2-488e-a809-2495bf9b264f.webp?v=1681659533;1120.00;in stock;new;Apparel & Accessories > Shoes;Men's > Tops > Denim;;;Finer Denim;male;adult;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Fear Of God Essentials T-Shirt Light Oatmeal;"<p>The Fear of God Essentials Light Oatmeal T-shirt is a light grey tee made of 100% cotton. It features a black logo printed near the back collar from the inside and on the left front chest. The tee has stretch from the collar to the hem, making it comfortable and durable.</p>
<p>Please note that Fear of God Essentials items are always oversized, so if you prefer a regular fit, we recommend purchasing one size smaller.</p>
<p>All items we offer are 100% authentic and brand new in their original packaging. We provide multiple payment options for your convenience, including card, installments, and cash on delivery.</p>
<p>Get your hands on the Fear of God Essentials Light Oatmeal T-shirt today and enjoy its stylish design and premium quality!</p>";https://costyled.me/products/fear-of-god-essentials-t-shirt-light-oatmeal;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/Fear-of-God-Essentials-T-shirt-SS22-Light-Oatmeal_1296x_e72e27bd-767a-4106-875e-acc96df2faf5.webp?v=1681657788;700.00;in stock;new;Apparel & Accessories;;;;;;;XS;regular;US:CA:Ground:0 USD;;
;;Fear Of God Essentials T-Shirt Stretch Limo;"<p>Check out the Fear of God Essentials Black T-shirt! Made from 100% cotton, this tee features a striking black logo printed near the back collar from the inside and on the left front chest. The tee has stretch from the collar to the hem, making it both comfortable and durable.</p>
<p>Please note that Fear of God Essentials items are always oversized, so if you prefer a regular fit, we recommend purchasing one size smaller.</p>
<p>We guarantee that all items we offer are 100% authentic and brand new in their original packaging. We provide multiple payment options, including card, installments, and cash on delivery, for your convenience.</p>
<p>Order the Fear of God Essentials Black T-shirt today and enjoy a perfect combination of style and comfort!</p>";https://costyled.me/products/fear-of-god-essentials-t-shirt-stretch-limo;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/Fear-of-God-Essentials-T-shirt-SS22-Stretch-Limo_1296x_e91a9e63-4e4b-48f9-b07c-9e245d3e0e0b.webp?v=1681657785;700.00;in stock;new;Apparel & Accessories;;;;;;;XXS;regular;US:CA:Ground:0 USD;;
;;Fear Of God Essentials T-Shirt Wood;"<p>Fear of God is an independent luxury fashion label based in Los Angeles, founded by Jerry Lorenzo in 2013. The brand is known for creating timeless and wearable garments that offer a unique interpretation of American style, becoming a symbol of contemporary culture.</p>
<p>The Wood colorway is part of the FW22 season and is set to be released on September 28, 2022. This colorway is expected to showcase the brand's signature style, blending classic design with modern elements.</p>
<p>Stay tuned for the release of the Fear of God Wood colorway and experience the brand's distinctive take on American fashion!</p>";https://costyled.me/products/fear-of-god-essentials-t-shirt-wood;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/fear-of-god-essentials-t-shirt-wood-1.jpg?v=1681657782;700.00;in stock;new;Apparel & Accessories;;;;;;;XXS;regular;US:CA:Ground:0 USD;;
;;Fear Of God Essentials T-Shirt Off Black;<p>The Fear Of God Essentials T-Shirt Off Black is crafted from 100% premium cotton for maximum comfort and breathability. The luxurious feel of this ultra-soft garment will keep you looking stylish and feeling comfortable all day long.</p>;https://costyled.me/products/fear-of-god-essentials-t-shirt-off-black;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/fear-of-god-essentials-t-shirt-off-black-1.jpg?v=1681657779;700.00;in stock;new;Apparel & Accessories;;;;;;;XXS;regular;US:CA:Ground:0 USD;;
;;Fear Of God Essentials Hoodie Stretch Limo;<p>This Fear Of God Essentials Hoodie Stretch Limo is a comfortable, high-quality garment made from luxurious materials. Crafted with a soft French terry fabric for warmth and stretch for ease of movement, this hoodie is sure to become an essential part of your wardrobe.</p>;https://costyled.me/products/fear-of-god-essentials-pull-stretch-limo;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/15-4.jpg?v=1681657777;700.00;in stock;new;Apparel & Accessories;;;;;;;XXS;regular;US:CA:Ground:0 USD;;
;;Louis Vuitton Key Pouch;"<meta charset=""utf-8"">
<p>Product details:</p>
<ul>
<li>Dimensions: 12 x 7 x 1.5 cm (Length x Height x Width), or L 13.5 x H 7 x W 1.5 cm/L 5.3 x H 2.7 x W 0.6 inches</li>
<li>Made of durable Monogram coated canvas</li>
<li>Features grained cowhide leather lining for a touch of luxury</li>
<li>Includes a gold-color hardware zip closure for secure storage</li>
<li>Comes with a key ring and a chain with hook that can be attached to a bag, belt, or key holder</li>
<li>The Key Pouch is versatile and can be used as a bag or belt charm</li>
</ul>";https://costyled.me/products/louis-vuitton-key-pouch;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/louis-vuitton-key-pouch-monogram-wallets-and-small-leather-goods--M62650_PM2_Frontview.webp?v=1681651413;1350.00;in stock;new;Arts & Entertainment > Party & Celebration > Party Supplies > Place Card Holders;;;;;;;Default Title;regular;US:CA:Ground:0 USD;;
;;Louis Vuitton Card Hodler;"<meta charset=""utf-8"">
<p>Product details:</p>
<ul>
<li>Dimensions: 11 x 7 x 0.5 cm (Length x Height x Width)</li>
<li>Made of Monogram and Monogram Reverse coated canvas</li>
<li>Features cowhide leather lining for durability and style</li>
<li>Includes one interior slot for bigger cards and receipts</li>
<li>Has two outside slots for credit cards, transport cards, and more</li>
<li>Reference is made in France, Spain, Italy, or the US, depending on availability.</li>
</ul>";https://costyled.me/products/louis-vuitton-card-hodler;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/louis-vuitton-card-holder-monogram-reverse-canvas-wallets-and-small-leather-goods--M69161_PM1_Backview.webp?v=1681651202;1200.00;in stock;new;Apparel & Accessories > Handbag & Wallet Accessories > Keychains;;;;;;;Default Title;regular;US:CA:Ground:0 USD;;
;;Yeezy Boost 350 V2 Onyx;"<p>Introducing the highly coveted Yeezy Boost 350 V2 Onyx, an exclusive sneaker crafted by Yeezy and designed by the fashion mogul, Kanye West. This iconic sneaker combines style and comfort in a sleek black colorway that is sure to turn heads. 

Constructed with primeknit fabric, the upper half of the sneaker features a unique black and grey pattern, creating a distinguished look. The core black stripe that runs along the side of the shoe is placed atop the translucent black sole, creating a cohesive and modernistic look.

The Yeezy Boost 350 V2 Onyx is not only stylish but also incredibly comfortable. The sneaker's BOOST midsole provides an immense amount of cushioning, delivering a high-performance shoe perfect for both casual and athletic wear.

This versatile sneaker is a must-have for any sneakerhead's collection. Whether you're running errands, hitting up the gym, or going out on the town, the Yeezy Boost 350 V2 Onyx will have you feeling comfortable and looking ultra-stylish. </p>";https://costyled.me/products/copy-of-yeezy-boost-350-v2-slate;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/yeezy-boost-350-v2-onyx-725412.webp?v=1680137959;1850.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Retro High OG A Ma Maniere;;https://costyled.me/products/air-jordan-1-retro-high-og-a-ma-maniere;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-retro-high-og-a-ma-maniere-642692.jpg?v=1680136781;2380.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Force 1 Low White Supreme;"<p><strong>Practical advice</strong>: This model runs large, we recommend taking a 1/2 size smaller than your usual size.</p>
<p>Launched as part of the New York-based brand's Spring/Summer 2020 collection, this new <strong>Supreme x Air Force 1 Low</strong> offers a minimalist take on <strong><a href=""https://costyled.me/collections/nike"" title=""Nike"">Nike's</a></strong> iconic silhouette.</p>
<p>The upper of the low-top is crafted from <strong>full-grain leather</strong> with a <strong>monochrome white</strong> finish, accentuated by the signature red box logo of <a href=""https://costyled.me/search?type=product&amp;q=supreme*""><strong>Supreme</strong></a> on the lateral heel.</p>
<p>Additional Supreme branding touches appear on the <strong>customized lining</strong> and a secondary set of <strong>red laces.</strong></p>
<p>If you like this type of model, you can also discover the <a href=""https://costyled.me/products/air-force-1-low-black-supreme""><strong>Air Force 1 Low Black Supreme.</strong></a></p>
<p><strong>Release date:</strong> 2020-03-05</p>
<p><strong>Colorway:</strong> WHITE/WHITE-WHITE</p>";https://costyled.me/products/air-force-1-low-white-supreme;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-force-1-low-white-supreme-342929.jpg?v=1680136208;1240.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 4 Retro SB Pine Green;;https://costyled.me/products/air-jordan-4-retro-sb-pine-green;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-4-retro-sb-pine-green-397000.jpg?v=1680136932;2630.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Retro High OG White Cement;;https://costyled.me/products/air-jordan-1-retro-high-og-white-cement;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-retro-high-og-white-cement-991124.webp?v=1680136817;1260.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Dunk Low Pale Ivory Redwood;<p>Take off in style with the Dunk Low Pale Ivory Redwood. This sleek and stylish shoe features a low-top sneaker design with a softly textured sole, as well as eye-catching ivory and redwood accents. Perfect for sports and everyday use.</p>;https://costyled.me/products/dunk-low-pale-ivory-redwood;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-low-pale-ivory-redwood-501328.jpg?v=1680137602;840.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid True Blue;"<p>The highly popular Air Jordan 1 Mid awaits you at Costyled in a True Blue colorway that you need to discover right away.</p>
<p>Originally designed in the early 2000s for the Asian market, particularly Japan, this mid-top version of Peter Moore's classic reveals itself in <strong>a color palette that is both understated, refreshing, and ultra-trendy</strong>.</p>
<p>As its name suggests, the Jordan 1 Mid True Blue showcases <strong>blue hues</strong>, specifically on its inner lining, the iconic Nike logo on each side panel, as well as the laces and outsole.</p>
<p>This famous True Blue, which gave the pair its name, enhances the design of the <strong>leather upper with a white base combined with gray overlay reinforcements</strong>.</p>
<p>The Jordan Wings on the upper exterior panels stand out in a white accent, just like the <em>midsole</em>.</p>
<p>Although conceived with a <strong>100% lifestyle</strong> purpose in mind, the <a href=""/collections/jordan-1-mid"" title=""Air Jordan 1 Mid""><span style=""text-decoration: underline;"">Air Jordan 1 Mid</span></a> has retained the technical features of the original high-top version, starting with the perforations necessary for foot breathability on the toe box and, of course, <strong>the Nike Air cushioning technology</strong>, which is appropriately present at the heel.</p>
<p>The Air Jordan 1 Mid True is, in fact, as comfortable as it is stylish.</p>
<p>Looking for another colorway? Discover the <a title=""Air Jordan 1 Mid Grey Sail"" href=""/products/air-jordan-1-mid-grey-sail""><span style=""text-decoration: underline;"">Air Jordan 1 Mid Grey Sail</span></a> at Costyled!</p>
<p><strong>Practical advice</strong>: This model fits true to size, and we recommend you take your usual size.</p>
<p><strong>Release date: </strong></p>";https://costyled.me/products/air-jordan-1-mid-true-blue;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-true-blue-347072.jpg?v=1680651783;870.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Black Gym Red;<p>The Air Jordan 1 Mid Black Gym Red offers legendary sneaker style blended with performance designed for comfort and agility. Featuring iconic Air Jordan 1 mid silhouette, these sneakers have a lightweight midsole and a durable rubber outsole for maximum cushioning and grip. Stand out in style with a black and red colorway.</p>;https://costyled.me/products/air-jordan-1-mid-black-gym-red;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-black-gym-red-259133.jpg?v=1680136612;1230.00;in stock;new;;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Barely Grape;<p>The Air Jordan 1 Mid Barely Grape offers classic style and modern comfort in one sneaker. Its premium leather upper and padded collar provide a supportive fit while the Air cushioning gives you a lightweight experience. Perfect for both casual and active days.</p>;https://costyled.me/products/air-jordan-1-mid-barely-grape;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-barely-grape-587636.jpg?v=1680136604;920.00;in stock;new;;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Low SE Reverse Ice Blue;;https://costyled.me/products/air-jordan-1-low-se-reverse-ice-blue;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-low-se-reverse-ice-blue-754716.jpg?v=1680136395;1120.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid SE Ice Blue;<p>The Air Jordan 1 Mid SE Ice Blue is a sleek classic shoe from Jordan. It features a 3/4 cupsole construction for increased durability and traction, as well as encapsulated Air technology for responsive cushioning. The leather and nylon upper material provides lightweight breathability and a timeless look.</p>;https://costyled.me/products/air-jordan-1-mid-se-ice-blue;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-se-ice-blue-288491.jpg?v=1680136706;1010.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;35.5 EU - 3.5 US;regular;US:CA:Ground:0 USD;;
;;Dunk High LXX Black Flax;;https://costyled.me/products/dunk-high-lxx-black-flax;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/dunk-high-lxx-black-flax-440671.jpg?v=1680137254;1010.00;in stock;new;Apparel & Accessories > Shoes;;;;;;;36 EU - 4 US;regular;US:CA:Ground:0 USD;;
;;Air Jordan 1 Mid Alternate Bred (2022);<p>The Air Jordan 1 Mid Alternate Bred (2022) offers a classic, timeless look with its signature black and red colorway. Featuring durable construction and resilient elements, this shoe is designed for long-lasting comfort and iconic style. Undeniably a legendary addition to your sneaker collection!</p>;https://costyled.me/products/air-jordan-1-mid-alternate-bred-2022;https://cdn.shopify.com/s/files/1/0714/0468/3553/products/air-jordan-1-mid-alternate-bred-2022-920583.jpg?v=1680136592;780.00;in stock;new;;;;;;;;35.5 EU - 3.5Y US;regular;US:CA:Ground:0 USD;;
